Ticker,Company,Segment,Exchange,Weighting (%)
SSE: 600031,Sany Heavy Industry,Industrials,Shanghai,0.464
SSE: 601985,China National Nuclear Power,Utilities,Shanghai,0.46
SSE: 600150,China CSSC Holdings,Industrials,Shanghai,0.445
SSE: 688041,Hygon Information Technology,Information Technology,Shanghai,0.444
SSE: 601766,CRRC Corporation,Industrials,Shanghai,0.435
SSE: 601169,Bank of Beijing,Financials,Shanghai,0.43
SZSE: 002371,NAURA Technology Group,Information Technology,Shenzhen,0.422
SSE: 600089,TBEA,Industrials,Shanghai,0.422
SSE: 601688,Huatai Securities,Financials,Shanghai,0.42
SSE: 601138,Foxconn Industrial Internet,Information Technology,Shanghai,0.417
SZSE: 000625,Chongqing Changan Automobile,Consumer Discretionary,Shenzhen,0.415
SSE: 600438,Tongwei Company,Information Technology,Shanghai,0.402
SSE: 600048,Poly Real Estate Group,Real Estate,Shanghai,0.394
SSE: 603501,Will Semiconductor,Information Technology,Shanghai,0.393
SSE: 600104,SAIC Motor,Consumer Discretionary,Shanghai,0.392
SSE: 600660,Fuyao Glass Industry Group,Consumer Discretionary,Shanghai,0.389
SZSE: 000002,China Vanke,Real Estate,Shenzhen,0.383
SZSE: 300015,Aier Eye Hospital,Health Care,Shenzhen,0.383
SSE: 601211,Guotai Junan Securities,Financials,Shanghai,0.382
SSE: 603288,Foshan Haitian Flavouring & Food Co,Consumer Staples,Shanghai,0.38
SSE: 600436,Zhangzhou Pientzehuang Pharmaceutical,Health Care,Shanghai,0.377
SSE: 601919,China Cosco Holdings,Industrials,Shanghai,0.376
SSE: 600905,China Three Gorges Renewables (Group),Utilities,Shanghai,0.371
SSE: 601390,China Railway Group Limited,Industrials,Shanghai,0.366
SSE: 601229,Bank of Shanghai,Financials,Shanghai,0.364
SZSE: 300122,Chongqing Zhifei Biological Products,Health Care,Shenzhen,0.36
SZSE: 002027,Focus Media Information Technology,Communication,Shenzhen,0.357
SSE: 688012,Advanced Micro-Fabrication Equipment,Information Technology,Shanghai,0.357
SSE: 688111,Beijing Kingsoft Office Software,Information Technology,Shanghai,0.351
SSE: 601006,Daqin Railway,Industrials,Shanghai,0.343
SZSE: 002304,Jiangsu Yanghe Brewery Joint-Stock,Consumer Staples,Shenzhen,0.341
SSE: 601818,China Everbright Bank,Financials,Shanghai,0.335
SSE: 600019,Baoshan Iron and Steel,Materials,Shanghai,0.331
SSE: 688271,United Imaging,Health Care,Shanghai,0.329
SSE: 603019,Dawning Information Industry,Information Technology,Shanghai,0.327
SSE: 600585,Anhui Conch Cement,Materials,Shanghai,0.322
SZSE: 002050,ZHEJIANG SANHUA INTELLIGENT CONTROLS,Industrials,Shenzhen,0.313
SZSE: 002466,Tianqi Lithium Industries,Materials,Shenzhen,0.311
SSE: 601658,Postal Savings Bank of China,Financials,Shanghai,0.302
SSE: 601989,China Shipbuilding Industry Company,Industrials,Shanghai,0.301
SSE: 600938,CNOOC Limited,Energy,Shanghai,0.297
SSE: 600999,China Merchants Securities,Financials,Shanghai,0.294
SSE: 688036,Transsion,Information Technology,Shanghai,0.287
SZSE: 000938,Unisplendour,Information Technology,Shenzhen,0.284
SSE: 601628,China Life Insurance Company,Financials,Shanghai,0.283
SSE: 603986,GigaDevice,Information Technology,Shanghai,0.274
SZSE: 002049,Unigroup Guoxin Microelectronics,Information Technology,Shenzhen,0.273
SSE: 601600,Aluminum Corporation of China Limited,Materials,Shanghai,0.269
SSE: 600111,China Northern Rare Earth Group,Materials,Shanghai,0.268
SSE: 688008,Montage Technology,Information Technology,Shanghai,0.267
SZSE: 300014,Eve Energy,Industrials,Shenzhen,0.264
SSE: 601939,China Construction Bank,Financials,Shanghai,0.264
SSE: 600958,Orient Securities,Financials,Shanghai,0.258
SSE: 600893,AVIC Aviation Engine Corporation,Industrials,Shanghai,0.257
SZSE: 002460,Ganfeng Lithium,Materials,Shenzhen,0.254
SSE: 601009,Bank of Nanjing,Financials,Shanghai,0.254
SZSE: 000538,Yunnan Baiyao Group,Health Care,Shenzhen,0.251
SSE: 601669,Power Construction Corporation of China,Industrials,Shanghai,0.247
SSE: 600009,Shanghai International Airport,Industrials,Shanghai,0.246
SZSE: 002129,Tianjin Zhonghuan Semiconductor,Information Technology,Shenzhen,0.245
SSE: 603993,China Molybdenum,Materials,Shanghai,0.244
SSE: 600886,SDIC Power Holdings,Utilities,Shanghai,0.241
SSE: 600760,AVIC SHENYANG AIRCRAFT COMPANY,Industrials,Shanghai,0.237
SZSE: 000425,XCMG Construction Machinery,Industrials,Shenzhen,0.236
SZSE: 000776,GF Securities,Financials,Shenzhen,0.235
SSE: 601916,China Zheshang Bank,Financials,Shanghai,0.235
SSE: 600795,GD Power Development,Utilities,Shanghai,0.234
